city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
South San Gabriel,South San Gabriel,CA,California,06037,Los Angeles,6037,Los Angeles,34.0489,-118.0962,8964,4154,polygon,FALSE,FALSE,America/Los_Angeles,2,91770,1840112768
West Athens,West Athens,CA,California,06037,Los Angeles,6037,Los Angeles,33.9235,-118.3033,8746,2526,polygon,FALSE,FALSE,America/Los_Angeles,2,90044 90047,1840113383
East Pasadena,East Pasadena,CA,California,06037,Los Angeles,6037,Los Angeles,34.1377,-118.0775,6288,1843,polygon,FALSE,FALSE,America/Los_Angeles,3,91107,1840112714
Irwindale,Irwindale,CA,California,06037,Los Angeles,6037,Los Angeles,34.1121,-117.9636,1461,63,polygon,FALSE,TRUE,America/Los_Angeles,3,91706 91010,1840105721
West Hollywood,West Hollywood,CA,California,06037,Los Angeles,6037,Los Angeles,34.0883,-118.3719,37080,7584,polygon,FALSE,TRUE,America/Los_Angeles,2,90069 90046 90048,1840105773
Bell,Bell,CA,California,06037,Los Angeles,6037,Los Angeles,33.9801,-118.1798,35811,5531,polygon,FALSE,TRUE,America/Los_Angeles,2,90201,1840107286
La Mirada,La Mirada,CA,California,06037,Los Angeles,6037,Los Angeles,33.9025,-118.0093,49095,2423,polygon,FALSE,TRUE,America/Los_Angeles,2,90638 90637 90639,1840105724
Arcadia,Arcadia,CA,California,06037,Los Angeles,6037,Los Angeles,34.1342,-118.0373,58799,2078,polygon,FALSE,TRUE,America/Los_Angeles,2,91007 91006 91066 91077,1840105669
Lake Hughes,Lake Hughes,CA,California,06037,Los Angeles,6037,Los Angeles,34.6833,-118.4588,624,22,polygon,FALSE,FALSE,America/Los_Angeles,3,93532,1840114570
Stevenson Ranch,Stevenson Ranch,CA,California,06037,Los Angeles,6037,Los Angeles,34.3894,-118.5885,19666,1194,polygon,FALSE,TRUE,America/Los_Angeles,3,91381,1840114670
West Rancho Dominguez,West Rancho Dominguez,CA,California,06037,Los Angeles,6037,Los Angeles,33.9057,-118.2682,23537,2287,polygon,FALSE,FALSE,America/Los_Angeles,2,90248 90061 90059 90220,1840113387
Culver City,Culver City,CA,California,06037,Los Angeles,6037,Los Angeles,34.0058,-118.3968,39283,2967,polygon,FALSE,TRUE,America/Los_Angeles,2,90232 90230 90231 90233,1840105694
South Monrovia Island,South Monrovia Island,CA,California,06037,Los Angeles,6037,Los Angeles,34.1234,-117.9958,6989,4919,polygon,FALSE,TRUE,America/Los_Angeles,2,91016 91010,1840117852
La Puente,La Puente,CA,California,06037,Los Angeles,6037,Los Angeles,34.0323,-117.9533,40322,4475,polygon,FALSE,TRUE,America/Los_Angeles,2,91746 91744 91747 91749,1840107542
Hacienda Heights,Hacienda Heights,CA,California,06037,Los Angeles,6037,Los Angeles,33.997,-117.9728,54155,1870,polygon,FALSE,FALSE,America/Los_Angeles,3,91745 91716,1840112371
Bradbury,Bradbury,CA,California,06037,Los Angeles,6037,Los Angeles,34.1536,-117.9684,1093,215,polygon,FALSE,TRUE,America/Los_Angeles,3,91008,1840107304
Cudahy,Cudahy,CA,California,06037,Los Angeles,6037,Los Angeles,33.9631,-118.183,24076,7905,polygon,FALSE,TRUE,America/Los_Angeles,2,90201 90096,1840105693
Palos Verdes Estates,Palos Verdes Estates,CA,California,06037,Los Angeles,6037,Los Angeles,33.7871,-118.3976,13544,1095,polygon,FALSE,TRUE,America/Los_Angeles,3,90274,1840105745
La Verne,La Verne,CA,California,06037,Los Angeles,6037,Los Angeles,34.1208,-117.7702,32461,1484,polygon,FALSE,TRUE,America/Los_Angeles,3,91750,1840107543
Westmont,Westmont,CA,California,06037,Los Angeles,6037,Los Angeles,33.9417,-118.3018,33532,7007,polygon,FALSE,FALSE,America/Los_Angeles,2,90044 90047,1840113413
East Los Angeles,East Los Angeles,CA,California,06037,Los Angeles,6037,Los Angeles,34.0326,-118.1691,123905,6423,polygon,FALSE,FALSE,America/Los_Angeles,2,90063 90022 90023,1840112709
Desert View Highlands,Desert View Highlands,CA,California,06037,Los Angeles,6037,Los Angeles,34.5902,-118.1536,2514,2205,polygon,FALSE,FALSE,America/Los_Angeles,2,93551,1840112671
Charter Oak,Charter Oak,CA,California,06037,Los Angeles,6037,Los Angeles,34.1025,-117.8564,9481,3945,polygon,FALSE,FALSE,America/Los_Angeles,2,91724,1840112056
Val Verde,Val Verde,CA,California,06037,Los Angeles,6037,Los Angeles,34.4504,-118.6717,2928,440,polygon,FALSE,FALSE,America/Los_Angeles,3,91384,1840113331
Alhambra,Alhambra,CA,California,06037,Los Angeles,6037,Los Angeles,34.084,-118.1355,85396,4320,polygon,FALSE,TRUE,America/Los_Angeles,2,91803 91801 91802 91804 91896 91899,1840107245
Lake Los Angeles,Lake Los Angeles,CA,California,06037,Los Angeles,6037,Los Angeles,34.6097,-117.8339,11820,468,polygon,FALSE,FALSE,America/Los_Angeles,3,93535 93591,1840112553
San Fernando,San Fernando,CA,California,06037,Los Angeles,6037,Los Angeles,34.2886,-118.4363,24714,4019,polygon,FALSE,TRUE,America/Los_Angeles,2,91340 91341,1840105755
South Gate,South Gate,CA,California,06037,Los Angeles,6037,Los Angeles,33.9448,-118.1926,95430,5091,polygon,FALSE,TRUE,America/Los_Angeles,2,90280,1840105763
North El Monte,North El Monte,CA,California,06037,Los Angeles,6037,Los Angeles,34.1029,-118.0239,3832,3495,polygon,FALSE,FALSE,America/Los_Angeles,2,91780 91006,1840112920
Walnut,Walnut,CA,California,06037,Los Angeles,6037,Los Angeles,34.0334,-117.8593,30199,1296,polygon,FALSE,TRUE,America/Los_Angeles,3,91789 91788,1840105771
Citrus,Citrus,CA,California,06037,Los Angeles,6037,Los Angeles,34.1161,-117.889,11489,5001,polygon,FALSE,FALSE,America/Los_Angeles,2,91722 91702,1840111690
Pomona,Pomona,CA,California,06037,Los Angeles,6037,Los Angeles,34.0585,-117.7626,152939,2571,polygon,FALSE,TRUE,America/Los_Angeles,2,91766 91767 91768 91769,1840107707
Covina,Covina,CA,California,06037,Los Angeles,6037,Los Angeles,34.0903,-117.8817,48462,2662,polygon,FALSE,TRUE,America/Los_Angeles,2,91724 91722 91723,1840105692
Paramount,Paramount,CA,California,06037,Los Angeles,6037,Los Angeles,33.8977,-118.1652,54909,4482,polygon,FALSE,TRUE,America/Los_Angeles,2,90723,1840105746
San Dimas,San Dimas,CA,California,06037,Los Angeles,6037,Los Angeles,34.1082,-117.809,34326,881,polygon,FALSE,TRUE,America/Los_Angeles,3,91773 91768,1840105754
Marina del Rey,Marina del Rey,CA,California,06037,Los Angeles,6037,Los Angeles,33.9765,-118.4486,9691,4362,polygon,FALSE,FALSE,America/Los_Angeles,2,90292,1840112212
Vincent,Vincent,CA,California,06037,Los Angeles,6037,Los Angeles,34.0982,-117.9238,17485,4585,polygon,FALSE,TRUE,America/Los_Angeles,2,91722 91702,1840113357
Malibu,Malibu,CA,California,06037,Los Angeles,6037,Los Angeles,34.0368,-118.7845,12877,250,polygon,FALSE,TRUE,America/Los_Angeles,3,90265,1840107955
Redondo Beach,Redondo Beach,CA,California,06037,Los Angeles,6037,Los Angeles,33.8574,-118.3766,67908,4230,polygon,FALSE,TRUE,America/Los_Angeles,2,90278 90277,1840105752
West Carson,West Carson,CA,California,06037,Los Angeles,6037,Los Angeles,33.8229,-118.2931,22260,3793,polygon,FALSE,FALSE,America/Los_Angeles,2,90710 90502,1840113385
Claremont,Claremont,CA,California,06037,Los Angeles,6037,Los Angeles,34.1259,-117.7153,36015,1041,polygon,FALSE,TRUE,America/Los_Angeles,3,91711,1840105684
Santa Clarita,Santa Clarita,CA,California,06037,Los Angeles,6037,Los Angeles,34.4155,-118.4992,309378,1235,polygon,FALSE,TRUE,America/Los_Angeles,2,91321 91351 91350 91355 91354 91387 91322 91382 91385 91386,1840107921
